unit_code,unit_title,parent_unit_code,service_code
00001,國防部,,C
10001,陸軍司令部,00001,A
11001,陸軍專科學校,10001,A
11002,陸軍北測中心,10001,A
11003,陸軍南測中心,10001,A
11004,陸軍步兵學校,10001,A
11005,陸軍花蓮防衛指揮部,10001,A
11006,陸軍砲測中心,10001,A
11007,陸軍第十軍團,10001,A
11008,陸軍第六軍團,10001,A
11009,陸軍第八軍團,10001,A
11010,陸軍金門防衛指揮部,10001,A
11011,陸軍通信學校,10001,A
11012,陸軍化工學校,10001,A
11013,陸軍兵工整備中心,10001,A
11014,陸軍飛彈指揮部,10001,A
11015,陸軍航空特戰指揮部,10001,A
11151,陸軍航空601旅,11015,A
11152,陸軍特戰862旅,11015,A
11401,陸軍步兵學校勤務營,11004,A
11402,陸軍步兵學校勤務營本部連,11401,A
11403,陸軍步兵學校勤務營支援連,11401,A
11404,陸軍步兵學校勤務營機動連,11401,A
11701,陸軍第十軍團第九旅旅部,11007,A
11702,陸軍第十軍團第五旅旅部,11007,A
11703,陸軍第十軍團裝甲旅,11007,A
11704,陸軍第十軍團機步269旅,11007,A
11801,陸軍第六軍團第三旅旅部,11008,A
11802,陸軍第六軍團第一旅旅部,11008,A
11803,陸軍第六軍團裝步旅,11008,A
11804,陸軍第六軍團空騎602旅,11008,A
11901,陸軍第八軍團第一旅旅部,11009,A
11902,陸軍第八軍團第四旅旅部,11009,A
20001,憲兵司令部,00001,A
20002,202指揮部,20001,A
20003,203指揮部,20001,A
20004,204指揮部,20001,A
20005,205指揮部,20001,A
20008,憲兵花東指揮部,20001,A
21001,憲兵司令部勤務營,20001,A
21101,憲兵司令部勤務營本部連,21001,A
21102,憲兵司令部勤務營支援連,21001,A
21103,憲兵司令部勤務營機車連,21001,A
22001,台北憲兵隊,20002,A
22002,202指揮部225營,20002,A
22003,202指揮部239營,20002,A
22004,202指揮部211營,20002,A
22101,台北憲兵隊隨隊連,22001,A
22201,202指揮部225營第一連,22002,A
22202,202指揮部225營第二連,22002,A
22203,202指揮部225營第三連,22002,A
22204,202指揮部225營第四連,22002,A
22401,202指揮部211營第一連,22004,A
22402,202指揮部211營第二連,22004,A
22403,202指揮部211營第三連,22004,A
22404,202指揮部211營第四連,22004,A
23001,台中憲兵隊,20003,A
23002,彰化憲兵隊,20003,A
23003,苗栗憲兵隊,20003,A
23004,雲林憲兵隊,20003,A
23005,南投憲兵隊,20003,A
23101,台中憲兵隊隨隊連,23001,A
23201,彰化憲兵隊隨隊連,23002,A
23301,苗栗憲兵隊隨隊連,23003,A
23401,雲林憲兵隊隨隊連,23004,A
23501,南投憲兵隊隨隊連,23005,A
24001,嘉義憲兵隊,20004,A
24002,台南憲兵隊,20004,A
24003,高雄憲兵隊,20004,A
24004,屏東憲兵隊,20004,A
24101,嘉義憲兵隊隨隊連,24001,A
24201,台南憲兵隊隨隊連,24002,A
24301,高雄憲兵隊隨隊連,24003,A
24401,屏東憲兵隊隨隊連,24004,A
25001,桃園憲兵隊,20005,A
25002,新竹憲兵隊,20005,A
25003,板橋憲兵隊,20005,A
25004,宜蘭憲兵隊,20005,A
25101,桃園憲兵隊隨隊連,25001,A
25201,新竹憲兵隊隨隊連,25002,A
25301,板橋憲兵隊隨隊連,25003,A
25401,宜蘭憲兵隊隨隊連,25004,A
28001,花蓮憲兵隊,20008,A
28002,台東憲兵隊,20008,A
28101,花蓮憲兵隊隨隊連,28001,A
28201,台東憲兵隊隨隊連,28002,A
30001,後備司令部,00001,A
31001,北區後備指揮部,30001,A
31002,中區後備指揮部,30001,A
31003,南區後備指揮部,30001,A
31004,花東地區後備指揮部,30001,A
31201,中區後備指揮部成功嶺營區904旅,31002,A
31202,中區後備指揮部成功嶺營區905旅,31002,A
31203,中區後備指揮部成功嶺營區906旅,31002,A
31211,中區後備指揮部成功嶺營區904旅第一營,31201,A
31212,中區後備指揮部成功嶺營區904旅第二營,31201,A
31213,中區後備指揮部成功嶺營區904旅第三營,31201,A
31214,中區後備指揮部成功嶺營區904旅第四營,31201,A
31215,中區後備指揮部成功嶺營區904旅第一營第一連,31211,A
31216,中區後備指揮部成功嶺營區904旅第一營第二連,31211,A
31217,中區後備指揮部成功嶺營區904旅第一營第三連,31211,A
31218,中區後備指揮部成功嶺營區904旅第一營第四連,31211,A
40001,空軍司令部,00001,A
50001,聯勤司令部,00001,A
60001,海軍司令部,00001,A
